favouritesCount,followers,location,mediaCount,name,createdAt,lang,likeCount,quoteCount,replyCount,retweetCount,retweettext,retweet/type,retweet/viewCount,retweetCount,text,viewCount
22181,10835906,"Seattle, WA",4141,Starbucks,Wed Apr 19 15:00:01 +0000 2023,,,,,,,,,23,"Join us in caring for our planet. We’re proud to support @PugetSKeeper, a nonprofit organization dedicated to protecting and enhancing the waters of Puget Sound for the health of our aquatic ecosystems &amp; the communities that depend on them. Get involved at https://t.co/eiI6rLagmY https://t.co/tzWI3nENnz",170648
22181,10835906,"Seattle, WA",4141,Starbucks,Fri Apr 07 15:08:35 +0000 2023,,,,,,,,,181,"The Starbucks road trip trifecta: water, coffee, and a little treat.",417650
22181,10835906,"Seattle, WA",4141,Starbucks,Fri Mar 31 14:59:40 +0000 2023,,,,,,,,,806,"roses are red
raindrops are falling
springtime is here
iced coffee is calling",616096
22181,10835906,"Seattle, WA",4141,Starbucks,Mon Mar 27 15:15:00 +0000 2023,,,,,,,,,127,Oleato™ has arrived. Starbucks coffee infused with Partanna® extra virgin olive oil. ✨ Available now in Seattle and Los Angeles and soon a store near you. https://t.co/7MzqYMA9FC,402035
22181,10835906,"Seattle, WA",4141,Starbucks,Sat Mar 25 15:01:00 +0000 2023,,,,,,,,,309,It's that fun time of year where it's hot coffee weather in the morning and cold coffee weather by the afternoon.,3829797
22181,10835906,"Seattle, WA",4141,Starbucks,Mon Mar 20 14:02:36 +0000 2023,,,,,,,,,81,Your Spring is charted in the stars. ✨ Discover your horoscope and Star Sign chart with the help of our friends at Sanctuary. https://t.co/SCHQoL3zDF https://t.co/W1T9f2DY5W,209505
22181,10835906,"Seattle, WA",4141,Starbucks,Fri Mar 17 15:00:01 +0000 2023,,,,,,,,,5871,The Eras as Starbucks drinks: https://t.co/TayVsfcAkY,2265682
22181,10835906,"Seattle, WA",4141,Starbucks,Tue Mar 14 15:07:01 +0000 2023,,,,,,,,,287,"Emotionally, spring starts the first time you can drink iced coffee outside without gloves on.",441959
22181,10835906,"Seattle, WA",4141,Starbucks,Thu Mar 09 20:15:23 +0000 2023,,,,,,,,,205,Reply with a 🫴 and we'll give you a drink recommendation.,1901413
22181,10835906,"Seattle, WA",4141,Starbucks,Tue Mar 07 14:12:05 +0000 2023,,,,,,,,,287,Say hello to the new Cinnamon Caramel Cream Nitro Cold Brew. Ooey gooey cinnamon roll bliss in every sip. US Only. 😋 https://t.co/DR425IyRGn,610806
22181,10835906,"Seattle, WA",4141,Starbucks,Fri Mar 03 22:05:27 +0000 2023,,,,,,,,,112,Infinitely nice: pistachio hot or iced. 💚 https://t.co/B2cDen2Bqh,213555
22181,10835906,"Seattle, WA",4141,Starbucks,Wed Mar 01 18:02:16 +0000 2023,,,,,,,,,138,She is the moment. ✨🍋 https://t.co/Wf2zgHlWuo,277125
22181,10835906,"Seattle, WA",4141,Starbucks,Tue Feb 28 17:40:23 +0000 2023,,,,,,,,,1506,"Manifesting an iced coffee, no matter what the weather app says.",529288
22181,10835906,"Seattle, WA",4141,Starbucks,Tue Feb 21 18:51:10 +0000 2023,en,255,3,11,20,"To the stranger ahead of us in the drive thru who bought our Starbucks for my dad and me as a random act of kindness today, you have no idea how much that meant. 💕🌎",tweet,136130,20,RT @TheStardust77: To the stranger ahead of us in the drive thru who bought our Starbucks for my dad and me as a random act of kindness tod…,136130
22181,10835906,"Seattle, WA",4141,Starbucks,Fri Nov 18 23:02:33 +0000 2022,,,,,,,,,173,"When you open a Starbucks Reserve® store in an NYC landmark, you celebrate with an NYC icon. @aliciakeys joined us for the lighting ceremony—the first of many unforgettable experiences here at the @EmpireStateBldg. Hope to see you soon. ✨ #StarbucksReserve #AliciaSantaBaby https://t.co/QnaIZCLHpq",
22181,10835906,"Seattle, WA",4141,Starbucks,Fri Nov 18 16:21:38 +0000 2022,,,,,,,,,195,"A gift that lasts all year round. The next time you use any reusable cup at Starbucks, including the Red Cup, you’ll get 25 Bonus Stars. 🌟 

*At participating stores on in-store beverage purchases (max 3x/day). For benefit, you must have made at least 1 Star earning transaction. https://t.co/CNSuvdQ4PL",
22181,10835906,"Seattle, WA",4141,Starbucks,Wed Nov 16 14:00:54 +0000 2022,,,,,,,,,420,"A gift you can open right away. 🎁 #RedCupDay is November 17th!

Get your limited-edition Reusable Red Cup with the purchase of any holiday handcrafted beverage. Quantities are limited, while supplies last, at participating US &amp; Canada stores. https://t.co/AZrtgH9tmE",
22181,10835906,"Seattle, WA",4141,Starbucks,Tue Nov 15 16:00:00 +0000 2022,,,,,,,,,228,"See you soon, Red Cup Crew. 🎄 #RedCupDay https://t.co/SZahoRn8LA",
22181,10835906,"Seattle, WA",4141,Starbucks,Mon Nov 14 16:00:02 +0000 2022,,,,,,,,,285,Your holiday dreams crumb true. ✨ Iced Sugar Cookie Almondmilk Latte https://t.co/tI7G58UjeG,
22181,10835906,"Seattle, WA",4141,Starbucks,Thu Nov 10 16:00:00 +0000 2022,,,,,,,,,207,"Thankful to celebrate each season with you. 💚 Here's to 25 years of holiday cup cheer!  

With amandakammarada, heleneinbetween, trishaglass, lisa.boettcher, mariah_of_mainstreet, chalkfulloflove, jenpixi (all on IG) and so many more. https://t.co/hsgvjif6aV",
22181,10835906,"Seattle, WA",4141,Starbucks,Wed Nov 09 16:00:01 +0000 2022,,,,,,,,,159,Setting the bar high. 🤍 Toasted White Chocolate Mocha https://t.co/24coeMzFAZ,
22181,10835906,"Seattle, WA",4141,Starbucks,Mon Nov 07 19:37:09 +0000 2022,,,,,,,,,248,Swirling into the season with Peppermint Mocha. https://t.co/I9qN0bhwZZ,
22181,10835906,"Seattle, WA",4141,Starbucks,Fri Nov 04 15:00:03 +0000 2022,,,,,,,,,705,Together at last… 💚 https://t.co/9or5pO89aI,
